แต่|พี่|ให้|หลาย|ข้อ,พี่ให้??
เสื่อม|ขนาด|ไหน|ว้า|นั่น,หึ
มัน|แน่ๆ,มีสิทธิ
อาจจะ|ไม่|กลับมา|สักพัก|ละ|กัน,ฟิว,นี้,อ่าๆ
แปป|เย็น,พน โอน
พระราม|อ่ะ,อ่อออ
รอ|ไวน์|สอบ|เสร็จ|อ่ะ,อืม,อะเคๆ,ได้คะ
ลืม|ไป|แล้ว|นะ|นั่น,นึกๆ
สู้|ต่อ|ปา,โอเค,อ่าหะ
เดี๋ยว|ชวน,อืมมม
ตอน|เด็ก|คง|ดู|บ่อย|น่าดู,ไม่อ่ะ -3-
เดี๋ยว|จะ|ได้|ถอนทุน|คืน|ละ,เสียอะดิ๊ 5555
อยู่|สี|อะไร|อ่ะ|วันนี้,แสดดดดดดดดค๊าฟ,ฟีโบ้อ่ะ
นี้|กี่|งาน,0.5 หน่วยกิต
แล|ชอบ|มุก|น่าดู,ไม่ๆ
ใบ|ได้|แค่นี้|ล่ะ,เย้ๆๆๆ
อืม|ป่าว,อืม
ร่างกาย|จะ|ตาย|ละ,พักๆ
นั่ง|เขียน|ตั้ง|แต่เช้า|ปวดหัว|เลย,พักบ้างง
งาน|เยอะ|อีก|ละ|หรอ,ป่าวว,ใช่ๆ
เดี๋ยว|มานะ|แปปนึง,อื้อ,ค่ะๆ,ทำไมอะ,ว่า,ค้าบบผม,ค่ะ,ค้าบบบบบ,จ้า,อ่าจ้า,อืม ๆ
ไม่|อาบน้ำ|ไง,จริงๆ
อ่าน|เท|อก|ผล|หลับ,จ้า
เผื่อ|เกม|เปิด|ไง,จ้า
แดง|มือ|พี่มิก|นั่นแหละ,ว่ามา,รู้ละ
กลับมา|บ้าน|มะ|วาน|อ่ะ,อ้ออออ
จาก|อนุสาวรีย์|ไป|ไง|ต่อ|อ่า,ขึ้นสาย 12
แล้ว|นี้|ทำ|โปรเจค|หรอ,นอน
นั่ง|คุย|อ่ะ,อ่า
แกล้ง|หมด|ทั้ง|แชท,แชทไหน
กด|ใหม่|ก่อน,แล้ว
ยุ|หอ|เม,เมสสอนอ่อ
เครียด|จริง|นะ,เหมือนกัน
อนิเมชั่น|ด้วยดี|มะ,จ้าาา,ดีๆ
ตะลุย|ด่าน,อืม,หมดเลย
สอนหนังสือ,อ่าน
อยู่|ภาค|อะไร|นะ|ครับ,ไอทีคะ
ที่|จ่าย|นั้น|อ่ะ,ได้เลยยเว่ยยย
ไว้|กลับมา|เมาท์|ยาว|อีกที,น่าจ๊งจ๊านนน,อ่าฮะๆ 
หมอน|พี่|บูด|หมด|ละ|จริง,ซักสิ
ดู|นู่น|นี่|ไป|เรื่อย,จ้า
วันนี้|ยัง|มี,ไม่รุ้
เซเว่น|หน้า|มอ|ก็ได้,เยี่ยมมม
พยายาม|มอง|ให้|เหมือน|ภาษาซี,อย่าเล้ยยยยยยยยยยยยยยยยยย,ยังไงฟะ
ช่วงนี้|สถานะ|ขึ้น|บ่อย|แฮะ,ก้มันเบื่อ 5555555
นก|พอได้|ละ,น้อยจุง
ทำ|อะไร|วะ,ภาษาซี ++
แดก|น้ำชา|ป่ะ,ว่าง อ่อ มึง 555
โอ|แต้|งก|คับ,ไปกินๆๆๆ,ขอบจายมาก,สู้ๆ,กินกล้วย,อิ่มยัง,ตึกกรีน,ได้ค่ะ,ไง ชนะไห,แต๊งค์กิ้วมาก,มาละ,ไปหาและ,เจอ,งงปะน่ะ,จ้า,เรียบร้อย,เหอะ,อะเค,อ่าฮะ,คิวครับ,อยุ่ไหนอะ,คะๆ,จะมาปะ,แกอ่ะ,ออฟไลน์,คับบบ,ค่า,อ่อค่ะๆ,ฟิว,*ไม่ได้ทำ,ระ ริ รุ เระ โระ,ค่ะ,ฟาย,ค่าาาา,ถึงและ,โห ...
ว่า|ไป|ละ|ไง,อีกนิด,ซี เอาไง,ดคมี,ไม่มีไร,อิอิ,ป่าว,เล่นไหม,ป่าวๆ,อ่าวแงะ,ว่างปะ
ก็|ใน|ยีน|น่ะ,ทำไมหรอ
ช่วงนี้|ได้|ไปเที่ยว|ไหน|บ้าง|อ่ะ,สยาม
เซ|เลย,ฟิว,ไมวะ
ทำไม|ลง|สอง|ทีม|อ่ะ,กรุบกริบ
ส่อง|หน่อย|น้า,คับ
จาร|ม่อย|ง่ะ,ตอนบ่าย
นคร|บก|เรียก|เลย,อ่า
อ่า|พึ่ง|ตื่น,กำละงไป
ค่า|เรียกชื่อ|เล่น,อือ
ก็|บอก|ละ|ไม่เชื่อ|โถ,5555ช้าไปป,นานและ,เรื่อง แก,ตอนนี้มะ,เอ้าถาม,แฮ่,ไปๆ
เส้น|เล็ก|มา|ตกแต่ง|อะ,อ่ออ
แล้ว|เตรียมตัว|สอบ|บ้าง|ยัง,ยางงงงงงงงงงงง 555
อืม|ก็ได้,อื้อ
จะ|ลองดู,อ่าฮะ,เล่นต่อ
ก็|ไม่ได้|คุย|อะไร|แล้ว|อ่ะ,อะไร,ปรึกษา,ไฟ่,อืมๆ,อือๆ
อ่ะ|ไม่ต้อง|แล้ว|วว,ขอโทษค่ะ55
นั้น|เวล|ไร|ละ,ส่งไร,เวล 10 ค่าาา,น้อย
ละ|นี่|ที่|ห้อง|ร้อน|ป่ะ,ทำไมอะ
ทำ|อะไร|คุย|กับ|เค้า|หน่อย,หงะ
สอน|การบ้าน|น้อง,ออ
สรุป|หา|ได้|มั้ย,ยังเลย
หลับ|ทุ่ม|เป็น|ด้วย|เรอะ,เป้น
วันนี้|ปวดหัว|อ่ะ,เอ้า
แล้วก็|กลายเป็น|ว่า|เรา|ลง|ไม่ทัน,กำ
ก็|ลุ้น|กัน|ไป|อ่ะ|นะ,เยาวราชนิ,จ้าา
ก็|นั่น|ล่ะ,อีกนานนนน
ละ|เคย|ไป|ปะ,อื้อ,เคย,สู้ๆ,จ้าาา
ค่าย|รุ่นพี่|ภาค|หรอ,ช่ายยยยยย
มัน|บอก|ดี|โทรม,อ่อออ
ที่จะ|ให้|มา|ช่วย|อ่ะ,อ่อ ยังๆ
ทำ|ปา,ค่ะ
พุทธบูชา|มัน|ยุ|ทาง|ไหน,หลังม
โว|เรื่องมาก,ไมอะ
โว|กี่|รอบ|แล้ว,อือออออออออออออออ,อะไร,รอบครึ่ง
พี่|ทำ|คนเดียว|หมด|คิด|ไม่ทัน,อ่ออ
ไม่ได้|ไป|เรียน|อ่ะ,อืม เคๆ
โปร|หมด|ยุ,เออๆไ
แปล|ออก|ด้วย,เทพ
เทา|อ่ะ,กำ 555
เออ|จริง,อื้อ
อรุณสวัสดิ์|ออ,่อ่าห้ะ,จ้า
ชม|กว่า|ยัง|ไม่|ถึง|เลย,จริงดิ
อืม|พยายาม|เข้า|ละ|กัน|ทำงาน,โอเคค่าาาา
แล้ว|นั้น|วิว|สอบ|เสร็จ|ยัง,เสดแล่ว,เสดละ,เยนนี้เสด,ยังเลย
อ่ะ|แล้ว|ปา,หึๆๆๆๆๆ -_,-
นอน|งาบ|บิ,ไม่สบาย
มัน|ไม่ใช่|อ่ะ,อ่า
การ|ตู|หรอ,อื้อ
มี|พี่|รึ|ป่าว|อา,ไม่มีจ้า
วัน|พา|รอบ|ตรง|ได้มา|ป่ะ,ไป
เห|มองไม่เห็น|จริง,เน้ตดีไง
อ่าน|ไร|อ่ะ,ฟิ
แล้ว|พรุ่งนี้|มา|มอ|ป่ะ,ไม่อ่า,ไปจ้าา
หา|อะไร|ลงท้อง|ก่อน|เถอะ,จ้า 55
น้ำหวาน|โม|ยุ|ป่ะ,อยู๋งิ
เดี๋ยว|รอ|เม|แปป,จ้าๆๆ
ว่าง|ได้|อีก,เหอะ,อ่าานะ
สูตร|เยอะ|ป่ะ,ไม่รู้
เปิด|ดะ,โห
แต๊งกิ้ว|จ้า,โอเคค่าา
ขอ|คุย|เป็นเพื่อน|หน่อย|ได้|มั้ย,ได้
ชอบ|อ่าน|ใน|ห้อง|มากกว่า,อืมม
ช่วงนี้|ทำงาน|ตลอด|หรอ,ป่าว
ฝาก|แอด|ได้|มั้ย|คับ,ดอครับ,อ่อได้คับ
ฝาก|ซื้อ|ไร|ด้วย|ป่ะ,ม่ายอาวว
คง|ไม่|ตกราง|หรอก,555555555555จ้า
จะ|ดู|พระ|นร|ป่ะ,ไม่รุวะ
ไม่|เรียน|เอง|มากกว่า,ป่าว
ฟัง|ผิด|มา|ตลอด,ง่อย555
ทำ|แผ่นพับ|ไทย|ยัง,แล้วๆ
ทำ|ไป|กี่|ปี|ละ,3วันเอง
ซอย|ถ้า|จำ|ไม่ผิด|นะ,เด่วโทไปป,อ่อออออ
ลื่อ|จริง|แล้ว|ล่ะ,ไหน
ป่าว|หมายถึง|ออน|อ่ะ,อ้อ
คณะบริหาร|หรอ,ป่าว
เล่น|ได้|ถึง|กี่|โมง|อ่ะ,ยันแจ้ง
อยาก|อยู่|ต่อ|ด้วย|อีก|สักหน่อย,ง้อววววว
กว่า|พัก|อ่ะ,อืม
เล่น|หน่อย|ได้|ป่าว,ทำไม = =;
หมายถึง|ครั้ง|อื่นๆ|ด้วย,อือ
ไปหา|เน็ต|มา|เลย,ไม่ไหวๆ
เยอะ|แหละ,ขอ ชื่อ
ง่ะ|ไร,เป้า
ถ้า|ไว้|ใน|ก็|ได้|เลย,อ่าว
ปิด|แล้ว|นะ,แปบ
ไม่ทัน|แล้ว,จิงเหรอ
ยัง|เหลือ|อีก|เยอะ|ป่ะ,ไม่อ่า,กะจะตี2,เสดแระ
หอ|หญิง|ก็|มี|อีก|อัน,จริง
ไว้|กลับ|หอ|ละ|กัน,แล้วแต่,อืมม
กาก|กก,แล้วแต่,พี่
ไม่มี|ตัด|อ้อย|เลย,ที่คอลไง
เรา|ได้|ละ,แปป
เด๋ว|เขียน|เสร็จ|แล้ว|ทัก|ไป,อือๆ
บังเอิญ|ไป|นะ,นั้นสิ 555
ก็|เลย|ทัก|ไป|ตอนเช้า,อ่อออ
ไม่|ง่วง|เร้อ|ออ,ง่วงงง
ริ้น|คอม|ตั้ง|แต่เช้า|ละ,เออ
เนียน|ได้|อีก,ถูกกกก
ใคร|ดู|แล้ว|บ้าง,อื้อๆ
กุ|ไม่ได้|พูดถึง|มึง|เลย,เออ
อืม|พี่|คน|ขอ|เค้าเรื่อง|นั้น,อือ
วิชา|เดียว|นั้นแหละ,ดออิ้ง
อ่าน|ยัน|ดึก|อีก|ละ|หรอ,นิดหน่อย
โหด|ไป|ป่ะ,ฟิตๆ555
ดี|ว่า|หุ้ม|ไว้|ไม่ได้|แกะ,นานละ
แค่นี้|เฉย,กุชิวๆ
เดี๋ยว|มาน|ออ,อืมๆ,จร้า,4 ทุ่ม,โอเคจ้า
พี่|ที่|ร้าน|นี่แหละ,คณะไร = =
วันนี้|ไม่|ง่วง|เลย,เน็ตเนาะ
หมายถึง|ลบ|อะไร|อ่ะ,อือๆ,แง่ลบ
อาบ|นาน|แระ,เหรออออ,แล้ว
การ์ตูน|ฮา|หรอ,บู๊
คิดถึง|ว่ะ,ทำไม
กลางๆ,จิงเหรอ
อืมมม|ม.,อืม.
พึ่ง|ลบ|ไป,กำ
ทน|ไม่ได้|ก็|ไจ|แหละ,อืม,จริง?
ก็|นั่ง|คุย|ใน|นี่|ล่ะ,โอเค,หรอค่ะ
ดึง|มา|ทั้ง|ไม่ได้|หรอ,ไงวะ
ลุย|อม|ลี้|ยุ,ปะดอท2
เหมือน|ไม่มี|อะไร|ดีขึ้น|เลย,กำ
กลับมา|ก็|หลับ,ฟิตหราาา
แล้ว|นี้|นอนเล่น|เฉย,ไม้เอก
แต่|มี|แล้ว|ใช่|ป่ะ,มีอ่ะ
ตี|งาน,อีเอ๋อ
สลับ|กัน|ยุ|ใน|กรุง|เทพ,ช่ายๆ,ใช่
ชม|รอบ,อืม
ก็ได้|แหละ,โอเชรรรรร
ชอบ|จังหวะ|ดนตรี|ดี,น่ารักอะ
ถาม|จริง|เรื่อง|ไร,งง
แบบนี้|ไม่|มาสาย|บ้าง|หรอ|นั่น,ย้างงงง,ไม่งอนน,ประจำ
ละ|มี|การบ้าน|เก็บ|ไว้|มะ,ไลกลุ่มมั้ง
เสร็จ|ยาง,ยาง
ไม่|คิด|ว่า|กิน|ด้วย|นะเนี่ย,นานๆกินที
แน่นอน|อิอิ,ใจดำ,น่านนนนน,แม้ะ,ไปสิ,ชิ
เพื่อน|คง|ดู|ซาว|อ่ะ,อ่ออค่ะ
โอ้ว|วว|เซาะ|กราว|หลาย,ไอบ้า,ทำไงดี
คง|อีก|สักพัก,อ่าๆๆ
ก็|พอ|ว่าง|อยู่|อ่ะ,ดีจังงง
เผลอ|ดู|แล้ว|หลับ|ด้วย|นะ,แย่มาก5555
ที่|โรงเรียน|เก่า|หรอ,ป่าว
กลัว|จุง,ดีๆ
สู้|ละ|กัน|ไว้|รอ|ฟัง,จ้าาาาา,ค่า,โอเคค่าาาา,ค้าาาา,ค้าๆๆ,จ้า,งับๆ,อืมๆ,ฮับ
ไม่|เกิน|อาทิตย์|นี้|ล่ะ,โอ้ว,ติดเนต อีก
เรา|เรียน|ดึก|นะ,อืม
ใน|โทร|ไม่มี|หรอ,ไม่มี ==
อืม|ขอ|วิธี|คิด,บทไร
แนว|นั้น|น่ะ,อ่ออ
ไม่|มา|หรอ,ไปดิๆ,กำลังออก
วุฒิ|พง,อไพศาล
ไปรษณีย์|พน|มัน|ปิดป่า,กไม่รุ
เอ้|จิง|เดะ,จิงง,อืม,จิงเดะ,อ่านวันจันเยน
แปป|งง,ฮืออ
ไม่|อ่ะ|กุ|ยุ|หอน,ดูในสไล๊
ไม่|จร|งง,จริ๊งงงงงงงงงงงง
แค่|อยาก|ให้|เค้า|สบายใจ|อ่ะ,อือๆ
นั่ง|รถ|ไป|กรุง|เทพ|อ่ะ,รีบๆมาสิ,อ๋อ
ขอ|พัก|ชาต|พลัง|ก่อน,อื้อ
จังหวัด|อะไร|อ่ะ,พัทยาอะ
เล่น|พ่อ|ตัวเอง|เฉย,อิอิ
ไม่ใช่|อ่ะ|ต้อง|ลองดู|จริงๆ,ไรมิงวะ
แหม|ยังกะ|จะ|ได้|เล่น,55 นั้นสิ,ค่า
จะ|ดู|หลัง|สอบ|เลย|เรอะ,ไม่แน่
ยัง|อ่ะ|รอ|ลุ้น|ตอนเช้า,อื้อ
คร้าน|เดะ,2คน สัด,เค โหลดมา
แค่นั้น|แน่|จ้า,ช่ายยย
ได้|ละ|ไม่|ปน|ไร,อ่าง,โถ
ลาน|แดง|ไง,กำ
จริง|ง่ะ,ยิ่งงอน
กว่า|ใบ|ไร|นะ,กรุมี
ขึ้น|สอง|คับ,จ้า
ดี|ครับ,ค้าบบบบ,ครับ,ดีค่ะ
กว่า|แปป|เดียว,แอะ
คับ|พอดี|สงสัย|แหะๆ,ครับผม
ถ้า|เน็ต|ใช้ได้|อ่ะ|นะ,แป่ว เคเค 555
เด๋ว|เริ่ม|เยอะ,ตายเลย
คง|เป็น|แบบ|ทำ|โมเดล,เล่น
ก็|พูด|ได้|แบบ|ทั่วไป|อ่ะ,ตกพรวดด
ปี|เดียว|หรอ,อือ
อ่า|อืม,บายยย,หยุด,กลัวผี
มี|จิง|เดะ,จริง
ก็|ทั้งคู่|อ่า,โห....
พน|จะ|พยายาม,เอาหน่าๆๆ,ค่า
ทั้ง|บท|เลย,สองแน่ๆ
ก็|คง|คุย|ดูก่อน|ล่ะ,ทำไม ?
ทุกปี|อ่ะ,56 อินเตอป้ะ
ขนาด|เจอกัน|แค่|ปี|ละ|ครั้ง,กำ
มึง|ได้|จด|มั้ย,เออ
อยาก|ฟังเพลง|ง่ะ,ฟังจิ -..-
อ่า|เป้|กุ,เอาน่าาา
มา|ร้าน|ปัง|มะ,ไม่อ่ะ
จัด|อีกที|เดือน|ไหน|อ่ะ,ปีหน้า
ป่าว|บางที|เรา|ก็|โดน|ไง,อือออ,โดนอาราย,เรื่อง,อ่าฮะๆ
จะ|ขึ้น|มา|วัน|ไหน|อ่ะ,มาแล้ว,26 มิย,วันจันงาย
ไว้|ว่าง|ค่อย|มา|นั่ง|เกรียน,มาก,กดผิด
ฟัง|แนว|นั้น|เลย|รึ,คับบ
มัน|ขึ้นหน้า|วอ,อ่อออ
รี|เครื่อง|แปป,เสดยัง
ของ|เรา|มัน|ใช้|ไม่ได้,อืม
จะ|อื้อ|อีก|นาน|มั้ย|รัช,อื้อ,เรื่อยๆ
แล้ว|มัน|อ่าน|ได้|ด้วย|หรอ,เพ่งลง,ได้
ชั้นล่าง|ใช่|ป่ะ,ใช่ๆ
ออน|สน,อยู่ทไหมม
กิน|ไร|ยัง|เนี่ย,ยังงง เบยย,แล้ววจ้า
แค่|งีบ|น่ะ,อ๋อออ
รู้|มีน|แคล|ป่ะ,ไม่รุ้,อ่ออ,ไงวะ
ร้าน|เดิม|หรอ,อืม,เองอ่ะ,เล่นไร
เริ่ม|แล้ว|ยัง,ยัง
ของ|พี่|แฮะ,จริงอ่อ
อาจาร|ยัง|ให้|เทค|โฮม|มั้ย,ไม่แล้ว
วิ่ง|หรอ,ทำงาน
เชียงใหม่|ล่ะ,โหวววววว
ละ|นี้|จะ|นอน|เลย,ยังงงง,พี่ๆใจดี
ทำไม|คราวนี้|น้อย|จริง,แล้วแต่,อื้อ,เว่อจร่ง,หลอกกกกก
ฟังเพลง|เรื่อยๆ,ป่าวว,อ่าช่าย
น้ำ|นอน|หอ|ใน|หรอ,ใช่,ช่าย,30 -1  ของมอนะ,จ้า
ล่าสุด|นี้|มัน|ให้|ทำ|ไร,นอนน~,เดิน~,ยุบ้านๆ,เล่นดอท,ไม่รู้,ดูหนังงว,ทำใจ
น้อง|ชื่อ|อะไร|นะ|แป้ง|ป่ะ,ใช่แล้ว
ถาม|ตอนนี้|เดี๋ยว|มัน|เตะ,มันมา เเค่ 5ไง
อ่า|โทร|ก็ได้|คอ,ออกยัง,เน็ตไว
ขอ|เพื่อน|ตา|สุดท้าย|ละ,งับ
นี้|จำได้|ป่ะ,ลงผิดๆ
พี่|ว่า|จะ|กลับ|หอ|ละ,ไปแอ
เดี๋ยว|เด้|ไป|กิน|ก่อน,ก็ด้ายยย
คู่|ไม่ได้|ลง,ไม่ได้ สน
มี|นคร|ก็|เล่น|อ่ะ,กุป่าวพิม = =,ไม่เเละ
เพื่อน|นับ,ไม่รุ้จัก 5555
พี่|หา|ไม่|เจอ|ซะงั้น,เช่นกัน,ล่างซ้าย,เสียดายยย,อ่ออออ,อ่า
เล่า|มา,ม่ายยยย
ฮา|เห็น|จู่ๆ|หาย|ไป|เลย,อ่า
ละ|ฟิสิก|สอบ|เป็น|ไง|บ้าง,เปนลม,เละ,สบ๊ายยย,สอบ?  เคมี?,กำลังอึนนน,สอบ พน.,ไม่รุอะ
แค่|หาว,โหหหห
อืม|แล้วแต่|นะ,ไปดีกว่า,อื้อ,แม่
เห็น|นอน|ดึก,โทษที
ยัง|ไม่|ยุด,เอิ่ม........
นำ|เลย,อืออออ
นอน|เถอะ,ไอยะ -0-;;;
จริงจัง|แค่|ไหน|เรียก,ทำไมมม
เสียว|วว|จะ|แตะ|กัน|แระ,ขาย
เทอม|นี้|ติว|ที,ติวไรอะ
มัน|จะ|ใช้ได้|เหมือนกัน|หรอ,ได้
ส่ง|พรุ่งนี้|สิ|นะ,ใช่,เออ
พอดี|ผม|ต่อ,ได้แล้วช่ะ
เล่น|ก่อน|นะ,งง
ได้|วอ|จัด|อะไร|ดี,เลนส์
แต่|ครึ่งหลัง|แนะนำ|นะ|ให้|เข้า,อ่าฮะ,บอกไผ?
ยัง|ไม่ทัน|ได้|แสดง|ไร|ที,แสดงมั้ง
เอ้|เห็น|ว่า|มา|โมง,ใช่
อิ่ม|มี|งี้|ด้วย|เรอะ,ใช่,แน่นอน,อืมมมมม,แน่นอนนน ><,ฮ่าๆๆ,จิงๆนาา,เอิ
มี|เฉลย|ข้อสอบ|มั่ง|ป่ะ,มีๆๆ,ในเน็ต,ไม่มีหวะ
ฝ้าย|ต้อง|ทำ|ป่ะ,คือไรอ่พ
คง|ไม่ทัน|แห,เออ
ฝึกงาน|เหมือนกัน|แต่|เดือน|อ่ะ,กำ
ความเชื่อ,เออดิ
ตอนนั้น|ยัง|ไม่|จัก|เลย,อ่านะ,โ่ด่ววว
ก็|ถ้า|อยู่|อ่ะ|นะ,อ่านะ
ตอน|อยู่|รร.|โคตร|ชอบ|เล่น,อุ้ววว
แข่ง|วันที่|น่ะ,อ่า
ร้อง|เพราะ|กว่า|ต้นฉบับ|เลย,ช่ายยย,อืมๆ
อืม|ง่วง|ยัง,ยังค้า
อ่าน|ไป|แล้ว|ใช่|ป่ะ,ครับ
ตอนนี้|อยู่|อีก,ำำอ่า ๆ
ที่|เรียน|อ่ะ,ออ
ค่าสมัคร,11700 ปะ
มัน|มี|มั้ย,อาไรวะ
อืม|เก,เออ
โหลด|บิด|มา,ฟิวว
กุ|ไป|งาน|ด้วย|อ่ะ,เหยด,อ่าๆ
ก็|กว่า|อยาก|เล่น|จิก,ส่งซะ 9
แนว|นี้|ฟังได้|ป่ะ,ได้ๆ
เออ|หัด|เข้าใจ|ได้|แล้ว,พูดดด
ที่|บอก|ให้|ไป|อาบน้ำ|กินข้าว,น้ำเสียง,ไล่
เอ้|แข่ง|พรุ่งนี้,อือ
มิ|ทราบ|จ้า,ไม่ๆ
ไม่มี|น้อง|หรอ,อยู่หอ
ไหน|ยกตัวอย่าง|มา,ก็ทุกคน
เอ้อ|ของ|พน|ไข่ดาว|ไป|ป่ะ,อาเคึ,ไม่ๆ,ฮะ?,ไม่รุ้ดิ,โอเช,ชนะป่าวว,ไปมออะ,ป้าวว,อินดี้
หน้า|แชท|โลก|ให้|หน่อย,พิมแล้ว,รอยุ
ละ|นี้|กลับ|จาก|รพ.|แล้ว,กำ,ฮะ
ชุด|นร,ผิดๆ
ตอน|ไหน|หว่า,หือออ
เกรียง,ว่า
กลาง|ภาค|อ่ะ|เป็น|ไง,เออ
วงดนตรี|ของกิน,อืมมมม
อาทิตย์|หน้า|สุดท้าย,อืมม
นั้น|คือ|ไร,อ่านเอง
เอา|ไป|ฝัน|เมื่อวาน|ซะงั้น,นอนตาย?
โยน|ไป|มา,ก้เหี้ย
ก็|คง|เห็นภาพ|กัน|ล่ะ|นะ,ค่า
ใน|บ้าน|นี้|ถึง|เข้า|เลย,เออ
เล่น|อีก|เกม|เด๋ว|ไป|ละ,อืม,คับๆ 
เอ|อยู่|บาง|มด|ด้วย|หรอ,อ่าใช่ๆ
วันนี้|ใช่|ป่ะ|ถาม|เพื่อน|แปป,ครับ
หาย|ไว|จ้า,ค่าา
หวัด|ดีน|ทำ|อะไร|อยู่|นั่น,ทำงานอะ
ที่|ไม่|ค่อย|ได้|คุย,อื้อ
เหลือ|อาทิ|นึง,นายๆ
ฝั่ง|โน้น|กาก,ฮึ่ยงง
อยาก|กอด|หมา|ที่|บ้าน,สุราษเรอะ,กลับบ้านๆ 55555
เห็น|มี|ซ้อม|ลีลาศ,เพื่อนอะ
ถ้า|มี|ไร|แปลก|ก็|ปล่อย,ออบติก
ไม่|ปิดเทอม|ที|หรา,ไปละบายยยย
เผลอ|หลับ|อี|ดก|ละ,คับ
แทบจะ|เปิด|แผงลอย|ได้|แล้ว|ล่ะ,เวอร์
ปุ๋ย,คะ
เพื่อน|พี่|ได้,โหยย
อย่างน้อย|เค้า|ก็|ไม่ได้|หนี|น่ะ,อืม
ฟิ|ยัง|ไม่|มา,กำลังไป,ไวๆเลยนะ,ไม่รุ,มาแล้ว
สอบ|แล้ว|แทบ|ไม่ได้|เล่น|เลย,ดีจ้า
ง่วง|โคตร,สม,นอน
วันนี้|เที่ยว|ยาว|อ่ะ|แหะๆ,อิจฉาาา
อันนี้|ไม่|ละ,อือ
ไม่มี|คีย์|ลัด|เรียก|ไก่|หรอ,เดวถามให้
มี|น้อง|มา,ไม่
อ่า|มา|ละ,อ่าาาา
ฝ้าย|กลับบ้าน|เฉพาะ|เสา|อาทิ|หรอ,ป่าวอ่ะ
จ้อย|ไหน|อ่ะ,บ้านจ่ะ
แล้ว|ของ|ชิง|อ่ะ,ว่าง31อะ
สารภาพ|ไป|แล้ว,นิสายยย
แล้ว|ยัง|เล่น|อยู่|ป่ะ,เล่น,เจ็บ
แอบ|เล่น|ใน|ห้อง|อีก|แน่ะ,ช่ายยยยย
ไม่แน่|ก็|มี|อีก|ล่ะ,สรุปไปป้ะะ
อังคาร|พฤหัส|เรียน|ปกติ,หึ
กิน|ที่ไหน|อ่ะ,ซื้อมากิน
เรียน|สังคม,ง่ะ
ให้|ช่วย|ลก|ป่า,ไม่เปนไรๆ
สี|นิ้ว|ลาก|ขึ้น,ไหนว๊ะ
เซ|ได้|ป่ะ,ได้ๆๆ
นั่ง|อ่าน|อ่ะ,อ่านไร
แป่ว|เห็น|นั่ง|ออน,ก้ไอโฟน
ด้านหน้า|อ่ะ|นะ,ช่าย
ไป|เล่น|ตรง|นู้น,โทดๆ
ทำให้|เบื่อ|ป่ะ,หมายถึง ??
แบบ|ทัวร์|นา|เมน|อ่ะ|นะ,ช่ายๆ,ป่าว
ก็|ไม่|เปิด|ละ|ไง,*ก็
เจ|รัช,อาาห์ๆ
ธรรมดา|ละ|เด๋ว|นี้,ไม่มั้ง
จ้า|งั้น|เรียน|ตามสบาย,สนุกดี,ค้าบบ,เห้อๆ,ดีๆ,ไม่ๆๆอ่ะ,เบอฟิวเบอไรนะ,อิอิ,นอนวัน,เคร ทำงานไปๆ,ล้อเล่นนน555555,ค้าบ,กอดโหน่ยย,แล้วอนสล่ะ,แปป,คร่าา,ทำไร,จริงๆ,ให้อิจไม,จ้า,อือออออออออ,อื้อ,ขอโทษ,มอป,แล้ว,เอ้อ,มาและ,ไมไวจัง,ด่าน26อ่ะ,โหลๆ,2.6 แล้วเว้ยยยย,เขินน,ไปนอนละ
อันนี้|บังคับ|หรอ,อื้อ
เล่น|ลา|เป็น|ป่าว,ไรอ่ะ ๕๕
ส่ง|ละ|ฝาก|พี่มิก|ไป,พี่มิก ==
ไป|ลอยกระทง|ที่ไหน|กัน|มา|อ่ะ,หน้ามอ,มจธ.
นอนเล่น|โน้น|นี่|ไป,อืม
ดูไม่ได้|เข้ากัน|เลย,วิศวะเสี่่ยว
บอร์ด|แรกเห็น|ไม่|ลง,ขำ,งง
ตี|แบด|ป่ะ,กำ
พี่|รู้จัก|แล้ว,อ่าว
เอา|มา|ยั่ว,ไม่มีผล
เล่น|กัน|ใน|ห้อง|หรอ,มาๆๆๆ,ใช่ๆ
แง|งง,โทดทีๆ,น่านนน
เผลอ|คง|ปอย|แถว|ขั้วโลกใต้,เว่อออออออ
ก็|พอ|อยู่|ได้|แหละ,เด๊วดีดเลย,ค่าาาา
พน|แม่|ต้อง|ไปหา|หมอ|แต่เช้า,อื้อ
ที่|เดิม,อืม
ตา|น่ากลัว|ไป|อี|กก,นึกว่าปาก
ยุ|ชั้น|อ่ะ,ครับๆ,ฟิว
อาบน้ำ|ยัง|อ่ะ,ยัง
แล้ว|ตื่น|เช้า|มาก|อะไร|ยัง,ยัง555,ไ ม่กิน
สร้าง|ฐาน|ป่าว,ไม่
นับ|ทุก|หัวข้อ|ใช่|ป่ะ,ยกเว้น 5 12 13
เอ้|พน|ไม่ได้|ทำ|หรอ,ป่าวๆ
เลย|ขี้เกียจ|เปิด,วายยย
เอา|สอง|มา|ไว้|นอก,ฟิล
ไม่เป็นไร|งั้น|วันหลัง|ก็ได้,หิวป่าว,อื้มๆๆ    โอเครๆ,อะเครร
แห่,ฮ่าๆๆๆ
อินเตอร์|ใช่|ป่ะ,ใช่
ตื่น|เร็ว|ไป|ป่ะ,ไม่หรอกก
